Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1990,1990,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1991,1991,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1992,1992,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1993,1993,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1994,1994,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1995,1995,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1996,1996,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1997,1997,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1998,1998,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,1999,1999,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,2000,2000,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,2001,2001,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,2002,2002,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,2003,2003,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,2004,2004,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
GF,Emissions from Forests,4,Afghanistan,5110,Area,6751,Forestland,2005,2005,3050,FAO TIER 1,1000 ha,1208.44,E,Estimated value,
