Area,Item,Year,Value
Afghanistan,Forestland,1990,1208.44
Afghanistan,Forestland,1991,1208.44
Afghanistan,Forestland,1992,1208.44
Afghanistan,Forestland,1993,1208.44
Afghanistan,Forestland,1994,1208.44
Afghanistan,Forestland,1995,1208.44
Afghanistan,Forestland,1996,1208.44
Afghanistan,Forestland,1997,1208.44
Afghanistan,Forestland,1998,1208.44
Afghanistan,Forestland,1999,1208.44
Afghanistan,Forestland,2000,1208.44
Afghanistan,Forestland,2001,1208.44
Afghanistan,Forestland,2002,1208.44
Afghanistan,Forestland,2003,1208.44
Afghanistan,Forestland,2004,1208.44
Afghanistan,Forestland,2005,1208.44
Afghanistan,Forestland,2006,1208.44
Afghanistan,Forestland,2007,1208.44
Afghanistan,Forestland,2008,1208.44
Afghanistan,Forestland,2009,1208.44
Afghanistan,Forestland,2010,1208.44
Afghanistan,Forestland,2011,1208.44
Afghanistan,Forestland,2012,1208.44
Afghanistan,Forestland,2013,1208.44
Afghanistan,Forestland,2014,1208.44
Afghanistan,Forestland,2015,1208.44
Afghanistan,Forestland,2016,1208.44
Afghanistan,Forestland,2017,1208.44
Afghanistan,Forestland,2018,1208.44
Afghanistan,Forestland,2019,1208.44
Afghanistan,Forestland,2020,1208.44
Afghanistan,Forestland,2021,1208.44
Afghanistan,Forestland,2022,1208.44
Afghanistan,Net Forest conversion,1990,0.0
Afghanistan,Net Forest conversion,1991,0.0
Afghanistan,Net Forest conversion,1992,0.0
Afghanistan,Net Forest conversion,1993,0.0
Afghanistan,Net Forest conversion,1994,0.0
Afghanistan,Net Forest conversion,1995,0.0
Afghanistan,Net Forest conversion,1996,0.0
Afghanistan,Net Forest conversion,1997,0.0
Afghanistan,Net Forest conversion,1998,0.0
Afghanistan,Net Forest conversion,1999,0.0
Afghanistan,Net Forest conversion,2000,0.0
Afghanistan,Net Forest conversion,2001,0.0
Afghanistan,Net Forest conversion,2002,0.0
Afghanistan,Net Forest conversion,2003,0.0
Afghanistan,Net Forest conversion,2004,0.0
Afghanistan,Net Forest conversion,2005,0.0
Afghanistan,Net Forest conversion,2006,0.0
Afghanistan,Net Forest conversion,2007,0.0
Afghanistan,Net Forest conversion,2008,0.0
Afghanistan,Net Forest conversion,2009,0.0
Afghanistan,Net Forest conversion,2010,0.0
Afghanistan,Net Forest conversion,2011,0.0
Afghanistan,Net Forest conversion,2012,0.0
Afghanistan,Net Forest conversion,2013,0.0
Afghanistan,Net Forest conversion,2014,0.0
Afghanistan,Net Forest conversion,2015,0.0
Afghanistan,Net Forest conversion,2016,0.0
Afghanistan,Net Forest conversion,2017,0.0
Afghanistan,Net Forest conversion,2018,0.0
Afghanistan,Net Forest conversion,2019,0.0
Afghanistan,Net Forest conversion,2020,0.0
Afghanistan,Net Forest conversion,2021,0.0
Afghanistan,Net Forest conversion,2022,0.0
Afghanistan,Net Forest conversion,2023,0.0
Argentina,Forestland,1990,35204.0
Argentina,Forestland,1991,35021.4
Argentina,Forestland,1992,34838.8
Argentina,Forestland,1993,34656.2
Argentina,Forestland,1994,34473.6
Argentina,Forestland,1995,34291.0
Argentina,Forestland,1996,34108.4
Argentina,Forestland,1997,33925.8
Argentina,Forestland,1998,33743.2
Argentina,Forestland,1999,33560.6
Argentina,Forestland,2000,33378.0
Argentina,Forestland,2001,33061.6
Argentina,Forestland,2002,32745.2
Argentina,Forestland,2003,32428.8
Argentina,Forestland,2004,32112.4
Argentina,Forestland,2005,31796.0
Argentina,Forestland,2006,31479.6
Argentina,Forestland,2007,31163.2
Argentina,Forestland,2008,30846.8
Argentina,Forestland,2009,30530.4
Argentina,Forestland,2010,30214.0
Argentina,Forestland,2011,29990.6
Argentina,Forestland,2012,29767.2
Argentina,Forestland,2013,29543.8
Argentina,Forestland,2014,29320.4
Argentina,Forestland,2015,29097.0
Argentina,Forestland,2016,28992.2
Argentina,Forestland,2017,28887.4
Argentina,Forestland,2018,28782.6
Argentina,Forestland,2019,28677.8
Argentina,Forestland,2020,28573.0
Argentina,Forestland,2021,28463.6667
Argentina,Forestland,2022,28355.2222
Argentina,Net Forest conversion,1990,213.6
Argentina,Net Forest conversion,1991,213.6
Argentina,Net Forest conversion,1992,213.6
Argentina,Net Forest conversion,1993,213.6
Argentina,Net Forest conversion,1994,213.6
Argentina,Net Forest conversion,1995,213.6
Argentina,Net Forest conversion,1996,213.6
Argentina,Net Forest conversion,1997,213.6
Argentina,Net Forest conversion,1998,213.6
Argentina,Net Forest conversion,1999,213.6
Argentina,Net Forest conversion,2000,213.6
Argentina,Net Forest conversion,2001,327.5
Argentina,Net Forest conversion,2002,327.5
Argentina,Net Forest conversion,2003,327.5
Argentina,Net Forest conversion,2004,327.5
Argentina,Net Forest conversion,2005,327.5
Argentina,Net Forest conversion,2006,327.5
Argentina,Net Forest conversion,2007,327.5
Argentina,Net Forest conversion,2008,327.5
Argentina,Net Forest conversion,2009,327.5
Argentina,Net Forest conversion,2010,327.5
Argentina,Net Forest conversion,2011,243.0
Argentina,Net Forest conversion,2012,243.0
Argentina,Net Forest conversion,2013,243.0
Argentina,Net Forest conversion,2014,243.0
Argentina,Net Forest conversion,2015,243.0
Argentina,Net Forest conversion,2016,135.0
Argentina,Net Forest conversion,2017,135.0
Argentina,Net Forest conversion,2018,135.0
Argentina,Net Forest conversion,2019,135.0
Argentina,Net Forest conversion,2020,135.0
Argentina,Net Forest conversion,2021,135.0
Argentina,Net Forest conversion,2022,135.0
Argentina,Net Forest conversion,2023,135.0
Armenia,Forestland,1992,334.312
Armenia,Forestland,1993,334.103
Armenia,Forestland,1994,333.894
Armenia,Forestland,1995,333.685
Armenia,Forestland,1996,333.476
Armenia,Forestland,1997,333.267
Armenia,Forestland,1998,333.058
Armenia,Forestland,1999,332.849
Armenia,Forestland,2000,332.64
Armenia,Forestland,2001,332.432
Armenia,Forestland,2002,332.224
Armenia,Forestland,2003,332.016
Armenia,Forestland,2004,331.808
Armenia,Forestland,2005,331.6
Armenia,Forestland,2006,331.392
Armenia,Forestland,2007,331.184
Armenia,Forestland,2008,330.976
Armenia,Forestland,2009,330.768
Armenia,Forestland,2010,330.56
Armenia,Forestland,2011,330.352
Armenia,Forestland,2012,330.144
Armenia,Forestland,2013,329.936
Armenia,Forestland,2014,329.728
Armenia,Forestland,2015,329.52
Armenia,Forestland,2016,329.31
Armenia,Forestland,2017,329.1
Armenia,Forestland,2018,328.89
Armenia,Forestland,2019,328.68
Armenia,Forestland,2020,328.47
Armenia,Forestland,2021,328.26
Armenia,Forestland,2022,328.05
Armenia,Net Forest conversion,1992,0.309
Armenia,Net Forest conversion,1993,0.309
Armenia,Net Forest conversion,1994,0.309
Armenia,Net Forest conversion,1995,0.309
Armenia,Net Forest conversion,1996,0.309
Armenia,Net Forest conversion,1997,0.309
Armenia,Net Forest conversion,1998,0.309
Armenia,Net Forest conversion,1999,0.309
Armenia,Net Forest conversion,2000,0.309
Armenia,Net Forest conversion,2001,1.2
Armenia,Net Forest conversion,2002,1.2
Armenia,Net Forest conversion,2003,1.2
Armenia,Net Forest conversion,2004,1.2
Armenia,Net Forest conversion,2005,1.2
Armenia,Net Forest conversion,2006,1.2
Armenia,Net Forest conversion,2007,1.2
Armenia,Net Forest conversion,2008,1.2
Armenia,Net Forest conversion,2009,1.2
Armenia,Net Forest conversion,2010,1.2
Armenia,Net Forest conversion,2011,0.208
Armenia,Net Forest conversion,2012,0.208
Armenia,Net Forest conversion,2013,0.208
Armenia,Net Forest conversion,2014,0.208
Armenia,Net Forest conversion,2015,0.208
Armenia,Net Forest conversion,2016,0.21
Armenia,Net Forest conversion,2017,0.21
Armenia,Net Forest conversion,2018,0.21
Armenia,Net Forest conversion,2019,0.21
Armenia,Net Forest conversion,2020,0.21
Armenia,Net Forest conversion,2021,0.21
Armenia,Net Forest conversion,2022,0.21
Armenia,Net Forest conversion,2023,0.21
Azerbaijan,Forestland,1992,953.236
Azerbaijan,Forestland,1993,957.484
Azerbaijan,Forestland,1994,961.732
Azerbaijan,Forestland,1995,965.98
Azerbaijan,Forestland,1996,970.228
Azerbaijan,Forestland,1997,974.476
Azerbaijan,Forestland,1998,978.724
Azerbaijan,Forestland,1999,982.972
Azerbaijan,Forestland,2000,987.22
Azerbaijan,Forestland,2001,991.7475
Azerbaijan,Forestland,2002,996.2749
Azerbaijan,Forestland,2003,1000.8024
Azerbaijan,Forestland,2004,1005.3298
Azerbaijan,Forestland,2005,1009.8573
Azerbaijan,Forestland,2006,1014.3848
